Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-07-23 13:30:00+00:00,630.97998046875,631.0449829101562,630.9299926757812,630.9949951171875,2014982
2025-07-23 13:31:00+00:00,630.989990234375,631.0,630.989990234375,631.0,312673
2025-07-23 13:32:00+00:00,630.9699096679688,631.0599975585938,630.8300170898438,630.989990234375,271978
2025-07-23 13:33:00+00:00,630.97998046875,631.1699829101562,630.9401245117188,630.9500122070312,184330
2025-07-23 13:34:00+00:00,631.1099853515625,631.1851196289062,630.9099731445312,630.97998046875,197691
2025-07-23 13:35:00+00:00,631.1849975585938,631.2999877929688,631.0599975585938,631.1099853515625,341263
2025-07-23 13:36:00+00:00,631.1300048828125,631.2100219726562,631.0,631.1900024414062,219316
2025-07-23 13:37:00+00:00,631.1500244140625,631.2100219726562,631.0800170898438,631.1300048828125,197844
2025-07-23 13:38:00+00:00,631.4400024414062,631.4400024414062,631.1099853515625,631.1500244140625,303938
2025-07-23 13:39:00+00:00,631.3200073242188,631.4650268554688,631.2849731445312,631.4500122070312,197770
2025-07-23 13:40:00+00:00,630.9201049804688,631.3900146484375,630.9201049804688,631.3200073242188,250346
2025-07-23 13:41:00+00:00,630.8800048828125,631.02001953125,630.75,630.9199829101562,349184
2025-07-23 13:42:00+00:00,630.8599853515625,630.9099731445312,630.719970703125,630.8699951171875,194274
2025-07-23 13:43:00+00:00,630.8499755859375,630.8900146484375,630.77001953125,630.8400268554688,112659
2025-07-23 13:44:00+00:00,630.760009765625,630.8900146484375,630.739990234375,630.844970703125,122993
2025-07-23 13:45:00+00:00,630.2100219726562,630.7608032226562,630.1300048828125,630.760009765625,386368
2025-07-23 13:46:00+00:00,630.2299194335938,630.239990234375,630.2249755859375,630.239990234375,262235
2025-07-23 13:47:00+00:00,630.4949951171875,630.5599975585938,630.125,630.2100219726562,170175
2025-07-23 13:48:00+00:00,630.6099853515625,630.6199951171875,630.4099731445312,630.489990234375,165631
2025-07-23 13:49:00+00:00,630.3400268554688,630.6699829101562,630.2999877929688,630.6199951171875,172480
2025-07-23 13:50:00+00:00,630.22998046875,630.4500732421875,630.2100219726562,630.3400268554688,128053
