2025-07-24 01:19:17.277365, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.300154, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.326511, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.346921, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.379231, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.410398, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.443685, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.465808, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.496516, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.524402, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.549231, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.577753, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.608398, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.641400, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.665554, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.693330, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.714741, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.747174, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.774159, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.796508, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.822894, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.861243, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.883751, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.907358, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.933070, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.968409, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.990603, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.023541, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.049037, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.073804, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.107432, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.135258, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.230028, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.252442, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.273901, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.298603, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.324067, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.352773, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.384435, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.409588, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.437397, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.460368, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.485062, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.508104, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.533181, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.548889, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.576633, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.598648, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.626466, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.647845, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.664453, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.695219, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.717565, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.741378, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.768407, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.791098, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.812451, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.843144, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.867192, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.892117, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.913123, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.929739, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.961889, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.985425, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.011077, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.032791, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.057674, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.081760, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.098959, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.126422, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.150061, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.178547, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.191828, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.228407, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.247664, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.276513, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.302722, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.325550, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.353904, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.376581, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.403975, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.431126, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.460929, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.483891, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.518427, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.548712, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.574951, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.608069, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.628200, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.657678, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.694319, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.715638, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.764379, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.795238, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.810875, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.851506, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.876824, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.904967, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.935215, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.959756, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.988235, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.009112, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.041074, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.066656, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.091339, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.129918, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.170550, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.195130, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.224325, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.248491, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.276333, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.317256, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.342620, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.363981, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.394245, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.413475, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.440956, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.469954, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.500844, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.524406, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.554638, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.574391, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.597535, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.624419, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.649288, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.678996, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.707709, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.730118, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.829579, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.864654, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.893517, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.915294, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.943466, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.965994, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.997293, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.016959, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.042856, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.059984, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.093059, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.127851, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.149927, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.176059, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.216156, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.241443, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.261603, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.301568, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.326111, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.359880, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.388129, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.409592, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.443433, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.474244, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.501366, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.529994, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.558054, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.589903, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.616055, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.642520, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.669973, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.692316, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.713211, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.742488, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.764905, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.792653, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.814775, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.838092, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.861284, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.881624, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.911032, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.934593, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.959680, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.984727, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:21.999892, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.025837, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.048750, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.076182, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.098514, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.126774, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.148392, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.174517, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.197495, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.214765, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.242484, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.265669, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.295139, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.325891, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.350412, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.376919, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.398241, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.423675, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.442878, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.466821, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.495041, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.514685, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.541967, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.565636, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.586464, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.614242, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.640589, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.665096, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.692618, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.715840, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.748855, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.777979, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.799152, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.832779, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.859191, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.880784, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.915324, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.940665, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.959917, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:22.993104, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.015813, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.044393, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.078151, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.100814, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.126969, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.161297, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.185669, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:23.209389, AAPL, 213.60, BUY, 93, 212.5308066558838
